CodigoNacional;NombreEstacion;Latitud;Altura;Año;Mes;Dia;T.Maxima;T.Minima
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;03;01;21.0;27.4
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;03;02;20.4;27.0
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;03;03;20.6;26.4
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;03;04;21.3;26.6
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;03;05;20.6;25.8
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;03;06;20.1;26.7
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;03;07;20.8;26.4
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;03;08;20.5;26.4
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;03;09;20.5;26.4
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;03;10;21.2;26.5
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;03;11;21.1;26.4
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;03;12;21.7;26.3
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;03;13;22.0;26.8
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;03;14;22.0;26.3
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;03;15;22.3;27.0
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;03;16;21.6;25.8
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;03;17;22.1;26.9
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;03;18;21.5;27.4
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;03;19;21.2;27.7
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;03;20;21.2;27.2
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;03;21;21.5;26.8
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;03;22;21.6;26.6
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;03;23;21.2;26.2
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;03;24;21.0;26.8
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;03;25;21.4;25.5
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;03;26;20.9;25.9
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;03;27;19.8;24.9
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;03;28;20.5;25.7
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;03;29;17.8;24.6
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;03;30;18.8;24.4
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;03;31;19.0;25.4
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;03;01;20.3;27.0
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;03;02;19.8;26.1
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;03;03;20.9;25.3
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;03;04;19.1;25.2
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;03;05;19.5;25.2
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;03;06;19.5;24.4
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;03;07;20.3;26.0
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;03;08;19.9;25.9
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;03;09;19.9;26.0
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;03;10;20.8;26.6
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;03;11;20.0;27.0
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;03;12;19.7;26.0
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;03;13;19.7;25.8
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;03;14;19.9;25.7
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;03;15;20.1;25.3
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;03;16;20.7;25.9
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;03;17;20.2;26.6
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;03;18;21.2;26.6
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;03;19;20.4;26.1
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;03;20;19.7;26.1
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;03;21;20.7;26.5
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;03;22;19.0;25.9
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;03;23;18.8;26.2
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;03;24;19.0;24.4
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;03;25;18.1;24.0
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;03;26;19.0;24.6
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;03;27;17.9;24.2
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;03;28;17.7;24.5
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;03;29;17.6;24.1
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;03;30;17.0;24.3
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;03;31;17.9;24.2
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;03;01;7.9;26.4
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;03;02;8.7;27.2
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;03;03;7.9;27.5
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;03;04;10.7;28.2
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;03;05;8.4;27.5
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;03;06;7.4;26.3
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;03;07;8.0;25.7
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;03;08;5.8;24.8
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;03;09;9.7;24.8
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;03;10;12.9;24.6
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;03;11;13.9;24.4
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;03;12;9.7;26.0
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;03;13;10.6;25.5
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;03;14;8.3;27.2
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;03;15;8.1;25.3
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;03;16;6.8;24.4
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;03;17;8.9;23.5
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;03;18;5.4;22.9
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;03;19;5.6;23.3
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;03;20;9.0;24.3
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;03;21;9.4;23.4
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;03;22;8.4;23.8
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;03;23;6.2;24.5
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;03;24;6.5;23.8
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;03;25;5.5;24.5
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;03;26;6.5;24.2
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;03;27;6.9;23.8
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;03;28;7.4;24.2
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;03;29;5.7;25.6
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;03;30;6.8;27.5
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;03;31;8.9;26.3
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;03;01;17.0;22.4
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;03;02;17.0;22.6
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;03;03;18.3;21.8
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;03;04;16.5;22.3
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;03;05;17.5;23.4
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;03;06;17.6;23.9
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;03;07;18.0;25.2
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;03;08;17.8;24.2
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;03;09;18.1;23.8
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;03;10;17.9;22.5
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;03;11;17.5;24.6
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;03;12;17.6;23.5
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;03;13;17.5;23.3
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;03;14;17.7;21.8
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;03;15;18.0;22.4
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;03;16;16.5;22.3
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;03;17;15.9;22.2
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;03;18;16.3;22.6
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;03;19;16.7;20.9
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;03;20;16.4;20.6
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;03;21;16.9;22.1
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;03;22;15.8;22.0
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;03;23;15.3;21.6
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;03;24;15.6;20.6
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;03;25;15.3;20.1
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;03;26;16.3;20.1
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;03;27;13.6;20.7
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;03;28;14.4;20.7
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;03;29;15.1;19.9
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;03;30;14.8;20.7
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;03;31;15.4;21.3
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2020;03;01;20.2;25.5
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2020;03;02;21.1;26.2
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2020;03;03;19.6;25.1
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2020;03;04;20.2;24.8
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2020;03;05;24.2;26.0
