CodigoNacional;NombreEstacion;Latitud;Altura;Año;Mes;Dia;T.Maxima;T.Minima
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;03;01;23.0;27.6
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;03;02;22.1;27.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;03;03;21.1;26.8
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;03;04;21.0;27.6
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;03;05;23.0;27.6
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;03;06;20.9;26.1
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;03;07;20.5;26.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;03;08;21.5;26.3
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;03;09;20.9;26.3
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;03;10;20.3;25.7
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;03;11;20.6;26.7
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;03;12;21.0;26.8
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;03;13;21.3;26.4
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;03;14;21.2;26.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;03;15;20.9;26.8
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;03;16;20.7;28.1
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;03;17;20.8;26.9
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;03;18;20.2;27.7
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;03;19;22.1;26.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;03;20;20.9;25.6
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;03;21;19.8;25.6
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;03;22;19.9;24.6
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;03;23;19.7;25.1
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;03;24;19.2;25.4
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;03;25;18.7;24.9
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;03;26;19.4;25.2
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;03;27;18.9;25.5
